2025-02-11 20:58:24 [main] INFO  service.AbstractService - Fetching resource with ID: 1 from endpoint: /api/playlists/{id}
2025-02-11 20:58:25 [main] INFO  service.AbstractService - Successfully fetched resource with ID: 1
2025-02-11 20:58:25 [main] INFO  service.PlaylistService - Sending POST request to endpoint: /api/playlists/{id}/tracks/add to add track with ID: 1 from playlist Id: 1
2025-02-11 20:58:26 [main] INFO  service.PlaylistService - Getting number of tracks with Id: 1 to endpoint: /api/playlists from playlist with ID: 1  
2025-02-11 20:58:26 [main] INFO  service.AbstractService - Sending GET request to endpoint: /api/playlists/{id}/tracks
2025-02-11 20:58:26 [main] INFO  service.AbstractService - Size of playlist IDs: 18
2025-02-11 20:58:26 [main] INFO  service.PlaylistService - Getting number of tracks with Id: 1 to endpoint: /api/playlists from playlist with ID: 1  
2025-02-11 20:58:26 [main] INFO  service.AbstractService - Sending GET request to endpoint: /api/playlists/{id}/tracks
2025-02-11 20:58:26 [main] INFO  service.AbstractService - Size of playlist IDs: 18
2025-02-11 20:58:26 [main] INFO  service.AbstractService - Fetching resource with ID: 1 from endpoint: /api/playlists/{id}
2025-02-11 20:58:26 [main] INFO  service.AbstractService - Successfully fetched resource with ID: 1
2025-02-11 20:58:26 [main] INFO  service.PlaylistService - Sending POST request to endpoint: /api/playlists/{id}/tracks/add to add track with ID: 1 from playlist Id: 1
2025-02-11 20:58:26 [main] INFO  service.PlaylistService - Getting number of tracks with Id: 1 to endpoint: /api/playlists from playlist with ID: 1  
2025-02-11 20:58:26 [main] INFO  service.AbstractService - Sending GET request to endpoint: /api/playlists/{id}/tracks
2025-02-11 20:58:26 [main] INFO  service.AbstractService - Size of playlist IDs: 19
